SIG22	státi (se)	)es( itáts	stá ti (se)	
SIG22	poroučeti (se)	)es( itečuorop	po rouč e ti (se)	
SIG22	jaa	aaj	jaa	
SIG22	ba	ab	ba	
ROOTWORD2	baba	abab	bab a	
SIG22	bába	abáb	báb a	
SIG22	ježibaba	ababižej	ježibab a	
ROOTWORD2	kába	abák	káb a	
SIG22	syllaba	aballys	syllab a	
SIG22	slabá	ábals	slab á	
ROOTWORD2	nába	abán	náb a	
ROOTWORD2	šnába	abánš	šnáb a	
SIG22	araba	abara	arab a	
ROOTWORD2	škrába	abárkš	škráb a	
ROOTWORD2	štába	abátš	štáb a	
SIG22	žába	abáž	žáb a	
SIG22	léčba	abčél	léč b a	
COMPOUND	radioléčba	abčéloidar	radi o léč b a	
SIG22	skladba	abdalks	s klad b a	
SIG22	hradba	abdarh	hrad b a	
SIG22	chodba	abdohc	chod b a	
SIG22	hudba	abduh	hud b a	
COMPOUND	technohudba	abduhonhcet	techn o hud b a	
SIG22	chleba	abelhc	chleb a	
SIG22	dareba	aberad	dareb a	
SIG22	třeba	abeřt	třeb a	
SIG22	potřeba	abeřtop	po třeb a	
SIG22	spotřeba	abeřtops	s po třeb a	
ROOTWORD2	véba	abév	véb a	
ROOTWORD2	ceiba	abiec	ceib a	
SIG22	líbá	ábíl	líb á	
SIG22	záliba	abiláz	zá lib a	
ROOTWORD2	šajba	abjaš	šajb a	
SIG22	alba	abla	alb a	
ROOTWORD2	dalba	ablad	dalb a	
ROOTWORD2	falba	ablaf	falb a	
COMPOUND	olejomalba	ablamojelo	olej o mal b a	
COMPOUND	zvukomalba	ablamokuvz	zvuk o mal b a	
COMPOUND	sklomalba	ablamolks	skl o mal b a	
COMPOUND	akrylomalba	ablamolyrka	akryl o mal b a	
COMPOUND	krajinomalba	ablamonijark	kraj in o mal b a	
COMPOUND	stínomalba	ablamoníts	stín o mal b a	
COMPOUND	zvěromalba	ablamorěvz	zvěr o mal b a	
COMPOUND	dřevomalba	ablamoveřd	dřev o mal b a	
SIG22	palba	ablap	pal b a	
COMPOUND	lukostřelba	ableřtsokul	luk o střel b a	
COMPOUND	dělostřelba	ableřtsolěd	děl o střel b a	
ROOTWORD2	přilba	abliřp	přilb a	
COMPOUND	cyklopřilba	abliřpolkyc	cykl o při lb a	
ROOTWORD2	holba	abloh	holb a	
ROOTWORD2	kolba	ablok	kolb a	
ROOTWORD2	rolba	ablor	rolb a	rol b a
ROOTWORD2	štolba	ablotš	štolb a	
SIG22	volba	ablov	vol b a	
SIG22	předvolba	ablovdeřp	před vol b a	
COMPOUND	eurovolba	ablovorue	euro vol b a	
ROOTWORD2	mamba	abmam	mamb a	
ROOTWORD2	samba	abmas	samb a	
ROOTWORD2	limba	abmil	limb a	
SIG22	bomba	abmob	bomb a	
COMPOUND	sexbomba	abmobxes	sex bomb a	
ROOTWORD1	plomba	abmolp	plomb a	
ROOTWORD2	tromba	abmort	tromb a	
SIG22	hanba	abnah	han b a	
SIG22	oba	abo	ob a	
SIG22	doba	abod	dob a	
ROOTWORD3	nádoba	abodán	nádob a	
SIG22	obdoba	abodbo	ob dob a	
SIG22	krátkodobá	ábodoktárk	krát k o dob á	
SIG22	podoba	abodop	po dob a	
COMPOUND	novodobá	ábodovon	nov o dob á	
SIG22	obhajoba	abojahbo	ob haj ob a	
ROOTWORD2	skoba	aboks	skob a	
SIG22	hniloba	abolinh	hni l ob a	
ROOTWORD2	roba	abor	rob a	
ROOTWORD2	róba	abór	rób a	
ROOTWORD2	droba	abord	drob a	
COMPOUND	garderoba	aboredrag	garde roba	
SIG22	choroba	aborohc	chor ob a	
ROOTWORD2	proba	aborp	prob a	
SIG22	výroba	aborýv	vý rob a	
COMPOUND	prvovýroba	aborývovrp	prv o vý rob a	
SIG22	zásoba	abosáz	zá sob a	
SIG22	osoba	aboso	osob a	
ROOTWORD2	drba	abrd	drb a	
ROOTWORD2	borba	abrob	borb a	
ROOTWORD2	čorba	abroč	čorb a	
ROOTWORD2	korba	abrok	korb a	
ROOTWORD2	torba	abrot	torb a	
SIG22	tvorba	abrovt	tvor b a	
COMPOUND	krvetvorba	abrovtevrk	krv e tvor b a	
COMPOUND	cenotvorba	abrovtonec	cen o tvor b a	
